resonance_radical_smiles,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25,PCA26,PCA27,PCA28,PCA29,PCA30,PCA31,PCA32,PCA33,PCA34,PCA35,PCA36,PCA37,PCA38,PCA39,PCA40,PCA41,PCA42,PCA43,PCA44,PCA45,PCA46,PCA47,cluster
[O]C(=O)OC(O)(O)O,-6.085906052996585,-1.6126043092907052,0.06583822205224393,-1.2300834026877252,0.27906519696034315,-1.5225170455527892,3.0855397351115013,0.930813411516634,-0.17353892786243214,-0.05212169079096906,-0.025312709436860512,0.43899594176322476,1.1018556285260823,0.24405699598646777,-0.08966807111107233,0.6232696105788216,0.07679903739531278,-0.13651490076312817,0.5254653961546952,0.30224895802086926,0.016404743032602476,0.019095323451248692,-0.17065038972069255,0.08023228372911162,0.10684914600320787,-0.303508323205407,-0.02227808012335989,-0.4980363334147331,-0.1632891490974712,-0.16438898926162593,0.2696082917133733,0.5241257495339176,-0.216772389708485,0.028849144265798817,-0.17914430367303164,0.35271851593355236,-0.062122220117927555,0.5648468183466365,-0.042794439005605624,-0.0031021431971127297,-0.4621554659002769,-0.7751574198687006,-0.6996534667335594,-0.34771525285703175,-0.6999117133692216,0.13156291046439017,0.13652319236233568,-0.10668093016649459,4
[O]C(O)(O)OC(=O)O,-6.08493941097672,-1.608886155110334,0.06273493363687065,-1.224500498786589,0.23521203803919266,-1.5083016934466493,3.168886662076507,0.9789889291657788,-0.20593733641025022,-0.02793705687151069,-0.0728786640480499,0.32608729893292676,1.0681165344683667,0.43531201681508647,-0.2648410995185974,0.5922827943948399,0.03346509558060734,0.014163765675119155,0.6444400731688872,0.25504066608727816,0.04474795317564127,0.14120999285581398,-0.15398724971541344,0.25246489422768925,0.008753125405794301,-0.19934956607714013,-0.0003744789169400567,-0.3560321500466547,0.11025934643716624,-0.28036735800403295,0.007901277715718883,0.2541678405560962,0.03180615483974228,-0.08100644612500982,-0.14543010210018786,0.04909462831104218,-0.41421159262343044,0.18077355964187622,0.08817518335304692,-0.45035677564246557,-0.0640042254094156,-0.07083079400291398,-0.024042011943756908,0.14328646978996337,-0.27728964485452945,0.06372889013468906,0.29327696254636926,-0.09793891846761008,4
O=C(O)O[C](O)O,-6.076921158027811,-1.6600325218731096,0.20864639655422998,-1.1119441265630423,0.26426324603649876,-1.8945326806242424,3.791866368897274,1.890257543794866,-0.1748312621917051,-0.18312997683116883,0.048629759773905365,-0.07627432886955779,0.5260840174929617,0.3726782244832077,-0.6764545012530899,0.5782701512873473,-0.21997631648606786,0.2741383255364219,1.2145491066392924,0.5857578585695707,0.15222496028824212,0.41176756811900606,-0.06149706964565194,0.6020689502578023,0.2273985253027865,0.14416846459901497,0.3364070762645028,-0.32934480158715146,0.6431023832562797,-0.7038609146476591,-0.8384972988398343,-0.49037700036626075,0.42565510817063906,0.028436861322271613,-0.05012877068784195,-0.3252720490610699,-0.6059810456915518,0.006139472555795392,0.5959904015674664,-0.5596879920929586,0.3885454869535897,0.3366991379236065,0.06946373805475078,-0.16723792514647157,0.36223577168868554,0.27375597711582195,0.16546724145326555,0.08296783558627739,4
CC(=O)OC(OO)C(=O)C(O)O[O],-0.9218026052026261,-2.614342958889917,-0.11038953390913726,-1.7698932853930018,0.4277507464994888,-1.8626648412231386,4.410072789411211,-2.435847707121723,1.0142403666117763,-0.007020085148526742,-1.0274441135615928,-0.8630729716891687,-0.2285217973036071,-0.0736339852141619,0.6378074430965036,0.7477907504846502,0.15551963220501588,0.6008250466220589,0.46602442953311585,-0.24571406788098613,-0.4115537259166816,-0.8066391898322244,-0.6879875470509511,-0.32415114394317185,0.23500020778916425,0.2352287446249634,0.12131272175399209,0.11817790479521545,-0.351206747378946,0.049551996357248274,-0.034837246022995275,0.13500919310881507,0.03419996309097897,0.41270791580304333,0.3334361797933259,-0.42336571510362747,0.10703443327666294,-0.16473883221430968,-0.106647430696577,0.16902586897394187,0.006936665343364624,-0.10440431385809527,-0.1360320394053288,0.4239296305945158,0.43876974222324105,0.23632127903080896,0.14792565208463807,-0.5425050687218956,12
O=[C]OC(O)(O)O,-6.0424168000849505,-1.3190845676395213,0.15352142831306367,-0.3395419511414184,0.0900248879766226,-1.5352958065098803,1.9009778903667636,1.2257565467077374,0.4699676644395694,-0.3945585008466815,0.39532079432318146,0.7565829289287662,0.5173576863501683,0.35751421371871456,-0.010120780300921997,0.35884055322531666,0.367097918829253,0.6643282856389189,0.16737238478466793,0.19917725726087568,-0.17865638152058028,0.018062533641248085,-0.4192957031462988,0.3230021072904131,-0.015752215965851857,-0.708169825571805,0.04620460649959151,-0.43802383863475985,0.0006747665460412859,-0.17682744696120029,0.14585829896344024,0.31099937074963674,-0.1645485295101714,0.07209733514428822,-0.1329035422727035,0.2826658080418785,-0.0034326357131741784,0.36407031110454796,0.13639059197525283,-0.08513947164732075,-0.2899942760032197,-0.5713908639778593,-0.45822670115495095,0.01118737874584291,-0.7304880623851496,-0.26735279534933887,0.09085903214188612,0.016763271422070982,4
CC(=O)OC(=O)[C](O)C=O,-2.6662308322173476,-2.962009092065327,-0.44406965494301603,-0.7515424929746902,0.7545212477051642,-0.0866673067938907,3.246394248958762,-0.5975966597618537,-1.998728251284,0.36668557360989384,-0.4787655761826728,-0.7483708166107963,0.3983914030718607,0.12777642578687465,0.014348044924064227,1.0364198393525532,0.14528379716794804,-0.2167049943451491,0.2972786839820618,0.23858947862920077,-0.05650710542341854,0.5738944245257784,-0.2128385971758764,0.10764755390461327,0.04456507111074514,-0.03367934486977235,0.20394911707726143,0.04999833485945936,0.11140518950798728,-0.5929993736454139,-0.11908787124708312,-0.4473566300206577,0.11268507713960114,-0.09201976435288299,-0.09237008776738782,0.049812223976313144,-0.34315591938076,0.0011697242097497664,0.574271614436558,0.014534873087840105,0.29047520561507184,0.2530010577950909,0.3304410016629537,-0.01763853094970281,-0.06341415210797904,-0.1546752398037672,0.13184784829264903,-0.07504053466457253,12
CC(=O)OC([O])=C(O)C=O,-2.6528156241825362,-2.9339867699230875,-0.4521637136318906,-0.6834737989770353,0.7622332767253767,-0.033727437737605934,3.132045624288971,-0.4284144840385601,-1.8116595399822588,0.2756291789270754,-0.35438327719494667,-0.6348297080807258,0.4807577333293277,0.1765833932245941,-0.1498938209986372,0.7674948458811137,0.0377518835384847,-0.21553397176874306,-0.13065940974849477,0.3176831066095997,0.0521914800885313,0.2927321766008718,-0.2563046080473398,0.06285000719521926,0.05466665095045257,-0.13756666125356692,0.11796861399814984,-0.32972847671515254,0.39846466266485503,-0.5864656139899761,-0.3870211543177221,-0.5016853409792816,0.13923656915096347,-0.11345444869291144,-0.11634779555156709,0.27311974121893695,-0.14575442985236706,0.22789827812615024,0.7159179457115034,0.26171218972761645,0.41235023869156073,0.0479571269021181,-0.38324524011150074,-0.29543707794941315,-0.07538654004605035,0.1067222834710111,-0.05304319284441176,0.06715405267375221,12
CC(=O)OC(=O)C(O)=C[O],-2.633734598797876,-2.953624410899391,-0.4883176563119953,-0.7707702358711193,0.6564969157342624,-0.14848366190646198,3.1873101857789767,-0.521613324321462,-1.9086825821569406,0.38874936137115446,-0.5971725239833553,-0.7450425071485842,0.19779888276103308,0.4149961294610497,-0.08464321582364737,1.1279029097404696,0.44129337928550855,-0.1090957412638599,0.8140852810921895,0.05600365776074885,0.010234331398473816,0.43953129682001224,-0.019575984569773875,0.2791713642687816,0.17658550318660293,0.008215113045420126,-0.07784122823082013,-0.1505198552133966,0.27317629677649835,-0.020069143617524873,-0.00916048303802236,0.09650795718682913,0.3111876980156111,0.06316730464153611,-0.10363852872102082,-0.041750639626879194,-0.42128538460157283,0.05798257528516396,0.36790411939206413,-0.03622912245482132,0.11026799708802516,0.3864123263718849,0.11216489591511526,-0.12426475000875067,0.12711864761070538,0.19048132468983403,0.30310334257237936,0.17964168913969542,12
CC(=O)OC(OO)C(=O)[CH]O,-0.8783260784896361,-2.3842285050385534,0.4618637534658753,-1.069483593157896,0.6542215279260043,-0.6726678037661185,4.105409444981586,-0.6709435653220456,0.10015258828215087,0.033266229822543805,-0.7219257050382287,-0.6601290739036054,-0.7208457015450142,-0.17899619199371283,0.8017739920553497,1.1521233427040733,0.2985422448521493,0.047726317627642824,0.42478989406304196,-0.018080567697840735,-0.358187468987099,-0.25504919715722507,-0.6348881664303344,-0.21706704559549794,0.10130844386431903,0.06060451578792522,0.32398933427061777,0.12182362461927529,-0.0874890390353833,0.8343783065568624,-0.27564991020873014,0.27920113125957396,-0.43429956196511477,0.28222997882881934,0.41250711059242484,-0.3163061509592642,0.6559784215900207,-0.12489196788259951,-0.5383374348177838,0.3169319795239746,-0.07175495652951601,-0.07048246885202944,-0.16765736515050547,0.589789856137652,0.10352202408902327,-0.2634166920076581,-0.10444161964511595,-0.14825010384131157,12
CC(=O)OC(OO)C([O])=CO,-0.9314867880568072,-2.358106346429831,0.18193906949003213,-0.7716995179023461,0.7036509030667525,-0.6791284572085468,4.213656933167309,-0.5700920708604278,0.4270907311927383,-0.014909764540355279,-0.7474839866049815,-0.6048731982738678,-0.6978707256155525,-0.2764903937445528,0.5561664627513052,0.8875132371067632,0.11755091783624952,0.05671312374144286,0.16870849852904754,-0.1290898650578043,-0.3497428423742122,-0.38705732921901687,-0.745053887098059,-0.19923068001320804,-0.0541741593156295,-0.029008332408393147,-0.0775574990913059,-0.2043955941032677,0.12620053974256454,0.7919537950652414,-0.5820945094280098,0.1554706907527473,-0.6527371638797854,0.07566037823416649,0.8227701934093805,-0.04340062968312154,1.0486795258610973,-0.13026447316686832,-0.6854901973105108,0.5888007872879861,0.1355293612419364,-0.31228622746921714,-1.0651634098815985,0.24570317820071866,0.5127604513151122,0.06633759791806072,-0.21408140641462542,-0.5605348513418948,12
CC(=O)OC(OO)[C](O)C=O,-0.9590491081410771,-2.356363743940683,0.1782573165935737,-0.734054405196481,0.7345347689078762,-0.586460830008597,4.22956535910862,-0.5823516962356509,0.2692519394905636,0.023621598884524836,-0.7477851390358113,-0.5932838105573537,-0.40076788182493184,-0.1223475407764797,0.30769262114746226,0.7884636046608232,0.07631056179105512,-0.049434649471195524,-0.2658951273691214,-0.1038456127379014,-0.43332340520726403,-0.15599260365772202,-0.8865229554983854,-0.2426444106163019,-0.14174841614130496,0.0905938609331457,0.6190237251696643,0.06434963537659,-0.05846242761324272,0.08098267871327444,-0.7126907555281541,-0.6789918355826655,-0.37408328391609613,-0.14571070260856314,0.3959060017119012,-0.16835365243305617,0.11444758270191957,-0.23519838039971758,0.46680786123365026,0.2299292923720456,0.4896960074901512,0.40035108636326644,-0.4852440952442936,0.2703408709641711,0.4529264460429189,-0.01852934031159377,-0.0643015714323544,-0.2672493486112055,12
CC(=O)OC(OO)C(O)=C[O],-0.9413383673021292,-2.3448728433514376,0.16316327415359985,-0.7514537550824696,0.7000204659125223,-0.65748909655421,4.193513315997652,-0.5411119585254891,0.3870905083156719,-0.006026607041434421,-0.675606696416886,-0.560243828021243,-0.6024013965147389,-0.15596736341604367,0.4199251444699702,0.8257350610473251,0.15914516333876047,0.16177017815647968,0.22295841592170076,-0.05087458271263763,-0.3489103104481991,-0.10985669606975332,-0.621870805082298,0.027972027408802353,0.055264747993466055,0.09205741865037805,0.33780649598551316,-0.20019049746917428,0.15808736069494797,0.501512192205505,-0.742785311912569,-0.13730034793671914,-0.37702222060023116,0.0022568369034686384,0.39289482324045455,-0.0917276562648267,0.09163372747428379,-0.25327715606727746,0.2568091943801567,0.09140829452920911,0.21126947066655388,0.40567609007479793,-0.5616558335247874,0.27533878074947843,0.6886063974301017,0.1341641209533067,0.2952858086308653,-0.24487194556099748,12
C[C](O)C1OOC(OC(C)=O)O1,2.419629751079546,-2.7728647755861053,-2.2971827111022165,-0.7148420324767685,0.03471042472169977,-0.7332095497902682,1.8186473620091352,0.6235838737507255,-0.5484928857089105,3.9623103650919704,0.0985559994556616,-1.1334695248482196,-1.102161293026342,-0.18177328681704946,0.8508892567844533,0.6317518804057359,-0.380458976108931,0.20575918098833615,0.7843747012072956,0.22414049449724352,-0.8973456777141571,0.23995601501891195,-0.06336814285741232,0.48337348688803844,0.7019989046362732,-0.0437504351869086,-0.04023661034617437,0.2762886579790163,0.28964578226332355,-0.49921292326099936,-0.23816674991082418,-0.3216877582036543,-0.28361958459286607,-0.11198279295707553,-1.043309065586811,-0.6483916220561349,-0.8090621857376746,-0.6882614531566875,-0.09287378330804161,0.4474701525194739,0.22096859867524188,-0.12081637746713497,-0.2142823344503317,-0.09380679573000669,-0.0863961981708428,0.3788123919529367,0.5334512514209889,0.1811212819762224,11
CC(=O)OC1O[CH]C(C)(O)OO1,2.4434110270446734,-2.00148363302823,-2.6746068810166697,-0.6796032046989888,0.8339457123885451,-0.5306035839514504,0.6322947044750208,0.5980667943538022,0.05604844010695988,2.9311642549950414,-1.2987724343895481,-0.6154763418772764,-0.8812788613405054,0.8586488791719576,0.08185863513458921,0.6761382108399395,0.3686661528449926,-0.07703048306328177,0.44738079427965277,-0.43508946258316994,-0.7111818378045345,0.18696638623704806,-0.4393153108706513,0.4542664913671094,0.5506775837212619,-0.16861468573518285,-0.28755955323898813,0.23316823495302266,-0.06119553056592997,-0.14745148530032373,0.018507995719966898,-0.1302745412564268,-0.23188927528707654,0.03187257640766754,-0.3805168596790223,-0.06989869813369785,-0.1710912820054273,-0.13716514112543102,0.1440091023844694,0.308881952630943,-0.05406633402679221,-0.14628900443693402,-0.06421939001574237,0.03372521799929973,-0.26130072544182,0.026956056103235284,0.02212481097954119,-0.04340476828965807,11
[O]C(=O)OC(=O)O,-7.708507569534361,-2.1452491531638973,-0.5168949225724607,-1.4271937175657246,0.3218940958061809,-0.8896631729129217,1.8198108076832689,-0.6963132855039756,-1.239471706820334,0.01923687820731957,-0.041189162700818974,-0.30000656811394555,0.7753029771595606,0.3240017136545544,-0.13648749809488286,0.8302968692426342,0.16509740379080795,-0.4217087007509014,0.649337834514502,0.6692613148008897,0.14190712626195987,0.088763778739352,0.3332769378036621,0.16810506732070993,0.33404610588376116,0.19307030041509285,0.20224037213408913,-0.42475244093178616,0.13911174770710252,-0.1276687058653963,-0.23640194798608502,0.21102455325232836,0.3391221027005655,0.17959518386482592,-0.21412279187662409,-0.08118622609283961,-0.16432362870641823,0.2824931019275753,0.015890987384787295,-0.014500628606935686,-0.1431070640141663,-0.07680256016057023,-0.06523315993925352,-0.1386664034991567,0.24343427425064787,0.42263935193213575,-0.08310384426606429,-0.10300224228881287,4
CC(=O)COC(O[O])OC(C)=O,2.8493714877027805,-3.3619220448693063,-0.16878813827972403,-2.5321533094330353,0.3211222028600892,-0.7276097261377831,1.2466997308035512,-2.8731173938958787,-1.1031823657655635,0.22688809463045745,-0.5303238928307528,-0.6498670130197605,-0.7316785050534651,-0.16780361935518623,0.38744015131345666,0.25414207508855846,-0.13307462736776832,0.5290633923698927,0.4852405771808435,-0.35283533861789795,-0.16204030388909502,-0.1851603101481043,-0.051605928924867296,0.06644517692718185,0.1631420712905439,0.11126263686763907,-0.12285261575292622,0.23358624141230422,-0.24619668805501727,-0.25373252189903034,0.20722702655887282,0.244864594696621,0.33248264571049574,0.35990132541420006,0.3339367572233198,-0.2763343105555421,0.18674527376999892,-0.07771234152448549,-0.34994856751783643,0.31604296193520764,0.2764333779875562,-0.02496764474548635,-0.3223890811887225,0.5253802943880979,0.41777740519573614,0.06912395847296236,-0.07560157534736588,-0.3310476793503833,11
CC(=O)OC1OOC(O)[C]1O,-0.9909350515411617,-1.2071120570787317,-1.4860515580045914,-0.9121519629318945,-0.2080531237172624,-0.9423167765204123,2.141199516025811,0.9708025818506337,0.23402060098113434,3.2732661288118807,0.3107758123187049,-0.6101265479196327,-0.3602161530125133,-1.1829174902704482,0.5302357027135047,0.6023383203299355,0.05127547520732159,0.38412364059172355,0.7068419067693831,-0.27225547208818124,-0.8152897755205119,0.3208462487420474,-0.46608235928933417,0.2779218174230833,0.4719000819079636,-0.27675571609297844,-0.19499544125897522,0.05339759038047476,0.00010612792582056539,-0.32095549246463856,0.19059157415011657,-0.17093205900358027,-0.37511946523517287,-0.1557933816395726,-0.9637431471806371,0.30411750967930906,-0.32382269820583076,-0.5308412624072454,-0.16975289962486328,0.40370749278569645,-0.04351409579204331,-0.3936463388351237,0.21940172269014263,-0.0037548063410004846,-0.28556306831147754,-0.0651616349761977,0.27651072567454366,0.12233319104766452,12
CC(=O)C(CC(=O)OC=O)O[O],-0.6780494123310347,-2.056995951008448,1.1492707754061735,-2.051080648210353,0.4523905182964538,0.5175015531068131,1.4750892540418805,-2.844036781843955,-1.153266318243972,0.30081431012716925,-0.5830671417100359,-0.7587987767604643,0.8133687803259347,0.23383197284787235,-0.012916906886800526,0.08240168938893859,-0.0011195534921115869,0.09419748009113514,-0.18530155831906273,-0.04606395987131707,-0.06589894626541473,-0.07400660798911717,0.03173520228794633,-0.06233223533461967,0.210358234938388,0.16193724052256872,0.359682680713671,0.14280195604901988,-0.3033946361375097,-0.47996507156080354,0.4497840683604671,0.23415342114691573,0.46478121759970137,0.050911795963519184,-0.08158049922114351,-0.44900427106971813,-0.29075928285775016,0.23228789493729057,-0.34842847774513075,0.247339853291867,-0.2543094812993163,-0.21219751152736618,0.39087670691139614,0.1931801720911201,0.2194380903801981,0.11825393178609912,0.22632203732121353,0.023226770215587708,12
[O]OC(=O)OC(=O)O,-7.665722833010407,-2.191321601077428,-0.43821017958572883,-1.6780724154215714,0.3240562731247802,-1.032363433200065,1.9886096579645651,-1.369963410837029,-1.0758277407336072,0.005574200700620315,-0.23371563393368003,0.3178884338908015,0.529832277961047,0.19632818930981505,-0.5465291835586761,0.5475069729782859,-0.0008839289256058251,0.08442091509971276,1.0317347411871707,0.48722187749487256,0.0025383038517490858,-0.005750417112502677,0.14221572498522622,0.25304156897025865,0.32138193214311117,0.2175455182285979,0.20850590615709783,-0.19804856218661182,0.22472958303964177,-0.30017054387965303,-0.12601216786505612,0.07948409157785954,0.3511172388080941,0.1259464702583984,-0.22082520310108714,-0.33406791444140016,-0.3795236155028217,0.27407984476767416,0.047808116288275464,0.03494735411804767,-0.30585882663053915,-0.02283035678333578,0.42431689259909583,0.0949842680928829,0.4333933529753825,0.15383141989824087,0.2340988820032995,0.1212349854818831,4
C[C](O)C(=O)OC(C)=O,0.8062536989327075,-4.158929527929865,-1.857314512084046,-0.9547163253117734,0.6155336055328212,-1.109673106911048,2.6183766200821217,0.030583623610181014,-1.930284104383375,0.16630561366590363,-0.13229974732243507,-0.9001352381844077,-0.428796054644597,0.05198359971755641,0.2645643626353864,0.8905020753100219,-0.001428578894347275,0.071735137665496,0.8097803582318043,0.039131034135629864,0.10118809569595857,0.24654303154770954,0.03265588784348646,0.17759066991961237,0.08683091084774036,0.02447984140702448,0.043102692349750345,-0.10189425040747845,0.11179104277546378,-0.29962461303044746,-0.11439148357220835,-0.043122405135106345,0.12375867577691943,0.11624406338130641,-0.050269498540179064,-0.0675495065729604,-0.40591151856587854,0.0527052090673551,0.3782517253566991,-0.11490856392973792,0.09069245561473387,0.19720928902703422,0.13847706870036103,-0.1397662625171426,0.012986998124337821,-0.03984807486851917,0.16441683745347085,0.09900492423470623,11
CC(=O)OC([O])=C(C)O,0.824681883493831,-4.058244746184778,-1.8954271335505533,-0.8947743312410484,0.6359303497154098,-1.0850290289133944,2.5469395422356604,0.22088913093357335,-1.7940640195689976,0.05642892011309211,0.042902005109270225,-0.7924329468506971,-0.35241585923565366,0.05393506934859342,0.1458938357843084,0.584498296981899,-0.034991534589879185,0.02871443587415713,0.3959477895936374,0.03202958355727632,0.06042698279542886,0.0021554387934809467,-0.008429948653598187,0.15461551134349905,0.14445079992449697,-0.08920314584272093,-0.044083948317113916,-0.3455731728385085,0.2682708277016813,-0.30337063140933374,-0.4635263373385819,-0.10797187310602838,0.13343036680266704,0.0696567287196447,-0.3243092835224958,0.15716089690319285,0.00527487954677479,0.43330974574596326,0.4780849205829759,-0.016954027384472888,0.3364721040889313,-0.12015889672115503,-0.3936004683736708,-0.430968398285353,0.09128173880882486,0.13066381146002576,0.4835284294586008,0.21502349931543696,11
O=C[C](O)C(=O)C(O)OO,-4.466952422962295,-1.160139744844817,1.2130264175302974,-0.7332263511463283,0.5227646407552775,-0.9491161535888483,4.903572931854917,0.6901080053422007,0.739968414442183,-0.07384682088442082,-0.574244898200721,-0.602174963649172,0.9617995725062944,0.2984571028754115,-0.1345310984366788,0.4956066340591512,0.15354063397893045,-0.02217994908962664,-0.3240393605744913,0.30851167590378714,-0.25719315839468554,-0.09016070759870921,-0.27626823129123906,-0.11415858490387748,0.17173500896005114,0.2633310846837207,0.9611840874488733,0.09982768998446376,-0.15033480471056646,-0.1682474376667666,-0.35393520025796815,-0.530301308699684,-0.06153867361997599,-0.035217102949202835,-0.11195849394254295,-0.24883150507156035,-0.4287146830486187,-0.13023396330405804,0.39124146614818106,-0.2935856290112191,-0.04243520871249224,-0.001690142921607469,0.2409105451234503,0.09901518201227597,-0.024333080380213278,0.1537981993481433,0.11424080534172529,-0.22176166613238987,4
[O]C=C(O)C(=O)C(O)OO,-4.4407594673481965,-1.1325075531553768,1.176401859304913,-0.7298802903786993,0.4550112129869343,-0.975751173108969,4.841429491264363,0.8113824264209555,0.8115471916528464,-0.017759953172675386,-0.7399826358293379,-0.5566974716456705,0.7398655353400627,0.46449231342294106,-0.2298109760470657,0.6055912147411222,0.4445741395234113,0.1416152328555258,0.2187392029563084,0.10913102573897322,-0.259503205117948,-0.2621349405296769,-0.141270103865439,0.0981975966068429,0.14060842515215852,0.3417079754589764,0.7121643038798307,0.025506644475191027,0.07810559035248708,0.3946347341489645,-0.38856911088614443,0.16472464342102805,0.13953642387539203,0.16842786427339457,-0.2144546156928506,-0.18588996099841043,-0.5738538598401215,-0.16582157545065568,0.12902621105413994,-0.6078045300970757,-0.3383069936304043,0.2085537909415524,-0.053663576355106726,0.08209069591599223,0.07162108647250902,0.4739687367944235,0.4241028772769915,-0.05790178100042534,4
[O]C(=C(O)C=O)C(O)OO,-4.452982923298793,-1.1045220821330841,1.2258061305494392,-0.6564398197749749,0.567069584537609,-0.8567472757316941,4.814268651832314,0.9109990156346426,0.8979010542364245,-0.14756718638368369,-0.5223182333178176,-0.4900926213911342,1.0536719208204006,0.21297758300603964,-0.3582022389060102,0.17364453809880487,0.14029529597343868,0.021856378971202142,-0.6131710581673122,0.4763767082229344,-0.22087198953669301,-0.4685765764095384,-0.3937109597583818,-0.23035439399508467,0.28237387538227265,0.06622942223451089,0.8256078407804446,-0.3476810438900802,-9.583835733049581e-05,-0.26643091307308236,-0.5169803582150277,-0.5538474895818414,-0.09399719229230068,-0.1146367217318676,0.0026753928008274785,0.24441263385816903,-0.30124788297192767,0.03494377172564626,0.531396549911582,-0.16532901638959324,0.07164102288363926,-0.30594032676384564,-0.31236342478240836,-0.1128824849770576,0.06834668092632881,0.16656093811715464,0.06775468175718086,-0.1425818414786284,4
