resonance_radical_smiles,closed_shell_smiles
O=C[C](O)C(O)=CO,O=CC(O)C(O)=CO
[O]C=C(O)C(O)=CO,OC=C(O)C(O)=CO
O=CC(O)=C(O)[CH]O,O=CC(O)=C(O)CO
CC(C)C(OO)OC(=O)CO[O],CC(C)C(OO)OC(=O)COO
O=C1CO[CH]C(COO)(OO)O1,O=C1COCC(COO)(OO)O1
CC(=O)OC([O])C=C(C)O,CC(=O)OC(O)C=C(C)O
O=C([CH]O)C(O)=CO,O=C(CO)C(O)=CO
[O]C(=CO)C(O)=CO,OC=C(O)C(O)=CO
[O]C(=O)OCO,O=C(O)OCO
O=CC(O)C(=O)[CH]O,O=CC(O)C(=O)CO
[O]C(=CO)C(O)C=O,O=CC(O)C(O)=CO
CC(=O)OCC(CO[O])COO,CC(=O)OCC(COO)COO
CC(=O)OC(C)(CO[O])COO,CC(=O)OC(C)(COO)COO
O=[C]OC(=O)O,O=COC(=O)O
CC(=O)OCC(=O)CC[O],CC(=O)OCC(=O)CCO
[CH2]C1(C)OOC(OC(C)=O)O1,CC(=O)OC1OOC(C)(C)O1
CCC(COC(=O)CO[O])OO,CCC(COC(=O)COO)OO
O=C[C](O)C(O)C=O,O=CC(O)C(O)C=O
[O]C=C(O)C(O)C=O,O=CC(O)C(O)=CO
CC(=O)OC([CH]CCOO)OO,CC(=O)OC(CCCOO)OO
CC(=O)OCC(C[O])COO,CC(=O)OCC(CO)COO
CC(=O)OC(C=O)C(C)[O],CC(=O)OC(C=O)C(C)O
C[C](COO)C(OO)OC(C)=O,CC(=O)OC(OO)C(C)COO
CC(=O)OCC(COO)O[O],CC(=O)OCC(COO)OO
CC(=O)OC(=O)[CH]COO,CC(=O)OC(=O)CCOO
CC(=O)OC([O])=CCOO,CC(=O)OC(O)=CCOO
CC(=O)OC(C[CH]COO)OO,CC(=O)OC(CCCOO)OO
CC(=O)OCC([O])CC=O,CC(=O)OCC(O)CC=O
CC(=O)O[CH]OC=C(C)O,CC(=O)OCOC=C(C)O
CC1(OO)CO[CH]C(=O)O1,CC1(OO)COCC(=O)O1
CC1(OO)COC=C([O])O1,CC1(OO)COC=C(O)O1
C[C]1OCOOC1OC(C)=O,CC(=O)OC1OOCOC1C
C[C]1COOC(OC(C)=O)O1,CC(=O)OC1OOCC(C)O1
[CH2]C(=O)OC(=O)C(C)OO,CC(=O)OC(=O)C(C)OO
C=C([O])OC(=O)C(C)OO,C=C(O)OC(=O)C(C)OO
CC(=O)O[C](COO)C(C)OO,CC(=O)OC(COO)C(C)OO
CC(=O)C1CC(=O)OC1[O],CC(=O)C1CC(=O)OC1O
CC(=O)O[C](CCOO)COO,CC(=O)OC(CCOO)COO
[CH2]C(=O)C(OO)OC(C)=O,CC(=O)OC(OO)C(C)=O
C=C([O])C(OO)OC(C)=O,C=C(O)C(OO)OC(C)=O
CC(OO)C1CC(=O)OC1O[O],CC(OO)C1CC(=O)OC1OO
CC(=O)OCC(=O)CO[O],CC(=O)OCC(=O)COO
CC(=O)O[CH]C(=O)COO,CC(=O)OCC(=O)COO
CC(=O)OC=C([O])COO,CC(=O)OC=C(O)COO
CC1(C[O])COCC(=O)O1,CC1(CO)COCC(=O)O1
[CH2]C(COO)C(OO)OC(C)=O,CC(=O)OC(OO)C(C)COO
CC(=O)O[CH]C1(C)OCOO1,CC(=O)OCC1(C)OCOO1
C=C(C)OC(O[O])OC(C)=O,C=C(C)OC(OO)OC(C)=O
CC(=O)OC([CH]C=O)OO,CC(=O)OC(CC=O)OO
CC(=O)OC(C=C[O])OO,CC(=O)OC(C=CO)OO
CC1(O[O])COCC(=O)O1,CC1(OO)COCC(=O)O1
CC(=O)O[CH]C(CCOO)OO,CC(=O)OCC(CCOO)OO
CC(=O)OCC(C=O)O[O],CC(=O)OCC(C=O)OO
CC(=O)OC[C]1COOCO1,CC(=O)OCC1COOCO1
CC(=O)C1CC(=O)O[CH]O1,CC(=O)C1CC(=O)OCO1
[O]C(=O)COC=O,O=COCC(=O)O
[CH2]C(=O)OC(C)(COO)COO,CC(=O)OC(C)(COO)COO
C=C([O])OC(C)(COO)COO,C=C(O)OC(C)(COO)COO
O[C]1OC(O)O1,OC1OC(O)O1
CC(C)(O[O])C1OOCC(=O)O1,CC(C)(OO)C1OOCC(=O)O1
[CH2]C1(COC(C)=O)OCOO1,CC(=O)OCC1(C)OCOO1
CC(=O)OC([CH]COO)OO,CC(=O)OC(CCOO)OO
CC(=O)OCC(C)(C)O[O],CC(=O)OCC(C)(C)OO
CCC(C)(O[O])OC(C)=O,CCC(C)(OO)OC(C)=O
O=C1OOC(O)[C]1O,O=C1OOC(O)C1O
[O]C1=C(O)C(O)OO1,OC1=C(O)C(O)OO1
CC(=O)OC([O])C(C)C,CC(=O)OC(O)C(C)C
[CH2]OC(O)C(CC)CO,CCC(CO)C(O)OC
CC(=O)OC(O[O])C(C)C,CC(=O)OC(OO)C(C)C
CC(OO)C(O)C(=O)O[O],CC(OO)C(O)C(=O)OO
CC(=O)OC([O])C1(C)CO1,CC(=O)OC(O)C1(C)CO1
CC(=O)OC(C)C(C)O[O],CC(=O)OC(C)C(C)OO
[O]OC(O)C(O)=CO,OC=C(O)C(O)OO
CC(C)(O[O])C(O)O,CC(C)(OO)C(O)O
CCCC([O])OC(C)=O,CCCC(O)OC(C)=O
[O]OCC1(COO)COC(=O)C1,O=C1CC(COO)(COO)CO1
CC(=O)OC(C)(C)CO[O],CC(=O)OC(C)(C)COO
[O]C(=O)OC=O,O=COC(=O)O
[O]C1CC(=O)CC(=O)O1,O=C1CC(=O)OC(O)C1
CC(=O)OCC1(O[O])COOC1,CC(=O)OCC1(OO)COOC1
CCCC(O[O])OC(C)=O,CCCC(OO)OC(C)=O
C[CH]C(=O)OCO,CCC(=O)OCO
CC=C([O])OCO,CC=C(O)OCO
CC1OOC(C)([O])OC1=O,CC1OOC(C)(O)OC1=O
CC(=O)OCCC(C)O[O],CC(=O)OCCC(C)OO
C=C(COC(C)=O)OCO[O],C=C(COC(C)=O)OCOO
CC(=O)OC(C)CCO[O],CC(=O)OC(C)CCOO
CC(=O)OC(C=O)O[O],CC(=O)OC(C=O)OO
CC(=O)OC=C(C)OCO[O],CC(=O)OC=C(C)OCOO
CC(=O)OCC(C)(C)[O],CC(=O)OCC(C)(C)O
[O]OC1CC(OO)CC(=O)O1,O=C1CC(OO)CC(OO)O1
CC(=O)OC1OC1(C)C[O],CC(=O)OC1OC1(C)CO
O=[C]CC(=O)COC=O,O=CCC(=O)COC=O
[O]OC(=O)C(CCO)OO,O=C(OO)C(CCO)OO
[O]OCC(=O)C(=O)O,O=C(O)C(=O)COO
CCC(COC(C)=O)O[O],CCC(COC(C)=O)OO
CCC(CO)C(O)O[O],CCC(CO)C(O)OO
CCC(CO[O])OC(C)=O,CCC(COO)OC(C)=O
[O]OCC(=O)OC=O,O=COC(=O)COO
CC(=O)OC([O])CC1CO1,CC(=O)OC(O)CC1CO1
[O]C12OC1(O)O2,OC12OC1(O)O2
O=C1C(O)[CH]OC1O,O=C1C(O)COC1O
C[C]1OC(=O)C(C)(C)O1,CC1OC(=O)C(C)(C)O1
C=COC(O[O])OC(C)=O,C=COC(OO)OC(C)=O
CC(=O)OCC(C)CO[O],CC(=O)OCC(C)COO
CCC(CO)(CO)O[O],CCC(CO)(CO)OO
[CH2]C(=O)OC(=O)C(C)C,CC(=O)OC(=O)C(C)C
C=C([O])OC(=O)C(C)C,C=C(O)OC(=O)C(C)C
CC(=O)OC1OOCC1O[O],CC(=O)OC1OOCC1OO
O=C([CH]O)CCO,O=C(CO)CCO
[O]C(=CO)CCO,OC=C(O)CCO
CC(=O)OC(C)(C)[C]=O,CC(=O)OC(C)(C)C=O
CC(C)(C)OC(=O)CO[O],CC(C)(C)OC(=O)COO
C[CH]C(=O)OC(C)=O,CCC(=O)OC(C)=O
CC=C([O])OC(C)=O,CC=C(O)OC(C)=O
[O]OCC(=O)COC=O,O=COCC(=O)COO
CC(=O)C(O)(C=O)O[O],CC(=O)C(O)(C=O)OO
CC(=O)OC1OC1(C)O[O],CC(=O)OC1OC1(C)OO
CC(=O)OCCCCO[O],CC(=O)OCCCCOO
CC(=O)OC1(O[O])COOC1,CC(=O)OC1(OO)COOC1
CC(=O)OCC(C)C[O],CC(=O)OCC(C)CO
CC(=O)OC1OC1CC[O],CC(=O)OC1OC1CCO
CC(C)(O[O])C(=O)O,CC(C)(OO)C(=O)O
CCC([O])COC(C)=O,CCC(O)COC(C)=O
[CH2]C(=O)OCC(C)(C)OO,CC(=O)OCC(C)(C)OO
C=C([O])OCC(C)(C)OO,C=C(O)OCC(C)(C)OO
[O]C1OC(O)O1,OC1OC(O)O1
CO[CH]CCOC(C)=O,COCCCOC(C)=O
[O]OC(=O)OC=O,O=COC(=O)OO
C[C](C)C(OO)OC(C)=O,CC(=O)OC(OO)C(C)C
[O]OCC(=O)OCOO,O=C(COO)OCOO
[CH2]C(=O)OC(C)C(C)OO,CC(=O)OC(C)C(C)OO
C=C([O])OC(C)C(C)OO,C=C(O)OC(C)C(C)OO
CCC(C)OC(=O)CO[O],CCC(C)OC(=O)COO
[CH2]C(C)(OO)OC(=O)C=O,CC(C)(OO)OC(=O)C=O
[O]OC1OCOC1=O,O=C1OCOC1OO
[O]OC(=O)C(O)COO,O=C(OO)C(O)COO
CC(=O)OCC(C)O[O],CC(=O)OCC(C)OO
[CH2]C(=O)OC(OO)C(C)C,CC(=O)OC(OO)C(C)C
C=C([O])OC(OO)C(C)C,C=C(O)OC(OO)C(C)C
C[C](OC(C)=O)C(C)OO,CC(=O)OC(C)C(C)OO
CC([C]=O)C(CO)CO,CC(C=O)C(CO)CO
[CH2]CC(C)(OO)OC(C)=O,CCC(C)(OO)OC(C)=O
O=C1CO[CH]OC(=O)C1,O=C1COCOC(=O)C1
CC(O[O])C(CO)CO,CC(OO)C(CO)CO
