radical_smiles,resonance_radical_smiles,resonance_radical_num_rotatable_bonds,radical_H298 (kcal/mol),radical_Sint298 (cal/mol/K),radical_source,radical_level_of_theory,radical_Cp300 (cal/mol/K),radical_Cp400 (cal/mol/K),radical_Cp500 (cal/mol/K),radical_Cp600 (cal/mol/K),radical_Cp800 (cal/mol/K),radical_Cp1000 (cal/mol/K),radical_Cp1500 (cal/mol/K),closed_shell_smiles,closed_shell_H298 (kcal/mol),closed_shell_Cp300 (cal/mol/K),closed_shell_Cp400 (cal/mol/K),closed_shell_Cp500 (cal/mol/K),closed_shell_Cp600 (cal/mol/K),closed_shell_Cp800 (cal/mol/K),closed_shell_Cp1000 (cal/mol/K),closed_shell_Cp1500 (cal/mol/K),closed_shell_Sint298 (cal/mol/K),closed_shell_thermo_comment,closed_shell_thermo_source,HBI_H298 (kcal/mol),HBI_Sint298 (cal/mol/K),HBI_Cp300 (cal/mol/K),HBI_Cp400 (cal/mol/K),HBI_Cp500 (cal/mol/K),HBI_Cp600 (cal/mol/K),HBI_Cp800 (cal/mol/K),HBI_Cp1000 (cal/mol/K),HBI_Cp1500 (cal/mol/K),unc_radical_H298 (kcal/mol),unc_radical_Sint298 (cal/mol/K),unc_radical_Cp300 (cal/mol/K),unc_radical_Cp400 (cal/mol/K),unc_radical_Cp500 (cal/mol/K),unc_radical_Cp600 (cal/mol/K),unc_radical_Cp800 (cal/mol/K),unc_radical_Cp1000 (cal/mol/K),unc_radical_Cp1500 (cal/mol/K),unc_closed_shell_H298 (kcal/mol),unc_closed_shell_Sint298 (cal/mol/K),unc_closed_shell_Cp300 (cal/mol/K),unc_closed_shell_Cp400 (cal/mol/K),unc_closed_shell_Cp500 (cal/mol/K),unc_closed_shell_Cp600 (cal/mol/K),unc_closed_shell_Cp800 (cal/mol/K),unc_closed_shell_Cp1000 (cal/mol/K),unc_closed_shell_Cp1500 (cal/mol/K),unc_HBI_H298 (kcal/mol),unc_HBI_Sint298 (cal/mol/K),unc_HBI_Cp300 (cal/mol/K),unc_HBI_Cp400 (cal/mol/K),unc_HBI_Cp500 (cal/mol/K),unc_HBI_Cp600 (cal/mol/K),unc_HBI_Cp800 (cal/mol/K),unc_HBI_Cp1000 (cal/mol/K),unc_HBI_Cp1500 (cal/mol/K)
C[CH]C(C)(C)OO,C[CH]C(C)(C)OO,6,-16.2179071661014,108.22419488085104,dong_pio_liang.py,CBS-QB3,37.86276690570095,44.660988422232506,51.01585964750596,56.605456198600535,65.6723589808739,72.42956344239006,82.55777992988168,CCC(C)(C)OO,-61.28181644359464,38.91374760994263,47.95697896749522,55.55891013384321,61.93653919694072,71.39063097514341,78.67615678776292,89.44179732313573,102.5123518164436,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-OsH) + group(Cs-CsCsCsOs) + group(Cs-CsCsHH) + longDistanceInteraction_noncyclic(CsCs-ST) + group(Cs-CsHHH) + group(Cs-CsHHH) + group(Cs-CsHHH),GAV,97.16390927749325,5.711843064407447,-1.050980704241681,-3.295990545262711,-4.5430504863372505,-5.331082998340186,-5.718271994269514,-6.246593345372858,-6.884017393254055,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.17612260356422,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
O=C1[CH]OC=C1,O=C1[CH]OC=C1,0,-16.205170090386975,71.11428802621006,dong_pio_liang.py,CBS-QB3,18.655020061394072,23.99243117502409,28.219678645979915,31.397173211680883,36.21079488576784,39.53313439446846,43.85190357990882,O=C1C=COC1,-50.07121279164876,19.270027088370743,24.78402534608872,29.45397234785373,33.15934963761301,38.84035181555634,42.862154392239,48.335088145418375,71.06481507765182,Thermo library: ../data/dong_pio_liang.py,Thermo library: ../data/dong_pio_liang.py,85.96604270126178,0.0494729485582468,-0.6150070269766701,-0.7915941710646273,-1.2342937018738134,-1.7621764259321289,-2.6295569297884995,-3.329019997770537,-4.4831845655095535,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.697056274847714,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
O=C1[CH]OC=C1,[O]C1=COC=C1,0,-16.205170090386975,71.11428802621006,dong_pio_liang.py,CBS-QB3,18.655020061394072,23.99243117502409,28.219678645979915,31.397173211680883,36.21079488576784,39.53313439446846,43.85190357990882,OC1=COC=C1,-44.27339842520265,20.633425423478013,25.76709719699426,30.047347241022937,33.474778744276534,38.729527591900855,42.38077547665391,47.28782050758246,73.20819205919129,Thermo library: ../data/dong_pio_liang.py,Thermo library: ../data/dong_pio_liang.py,80.16822833481568,-2.0939040329812286,-1.97840536208394,-1.7746660219701695,-1.827668595043022,-2.0776055325956517,-2.518732706133015,-2.847641082185447,-3.435916927673638,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.697056274847714,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
C[C](C)C(C)OO,C[C](C)C(C)OO,6,-16.19880798454163,110.750567157763,dong_pio_liang.py,CBS-QB3,35.1577468392065,42.28646265611855,49.09958275658938,55.04304888563202,64.67039588649703,71.8210410676673,82.40995784829587,CC(C)C(C)OO,-59.39904397705544,37.4757361376673,46.48833652007648,54.31877629063097,60.94963671128106,70.86868068833653,78.35078393881454,89.39956022944548,103.08975143403444,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-OsH) + group(Cs-CsCsCsH) + group(Cs-CsCsOsH) + longDistanceInteraction_noncyclic(CsCs-ST) + group(Cs-CsHHH) + group(Cs-CsHHH) + group(Cs-CsHHH),GAV,95.30023599251382,7.660815723728561,-2.3179892984607946,-4.201873863957928,-5.219193534041594,-5.906587825649041,-6.198284801839492,-6.529742871147249,-6.989602381149609,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.17612260356422,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
CC=CC(=O)CO[O],CC=CC(=O)CO[O],4,-16.12655976483055,102.15796211945236,dong_pio_liang.py,CBS-QB3,34.295809134979734,40.69384414477139,46.31200523929613,51.12575859562188,58.70148339936107,64.08625707606119,71.49617130688694,CC=CC(=O)COO,-50.24250478011473,35.634627151051625,42.49437858508605,48.73317399617592,54.06483747609942,62.07785850860421,68.07543021032505,75.52122370936904,104.89732313575524,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-OsH) + group(Cs-(Cds-O2d)OsHH) + group(Cs-(Cds-Cds)HHH) + group(Cds-O2d(Cds-Cds)Cs) + group(Cds-CdsCsH) + group(Cd-Cd(CO)H),GAV,86.21594501528418,-2.73936101630288,-1.3388180160718903,-1.8005344403146566,-2.421168756879794,-2.9390788804775383,-3.376375109243142,-3.989173134263865,-4.025052402482103,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.17612260356422,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
C=C(OC(C)(C)[C](C)C)C1OO1,C=C(OC(C)(C)[C](C)C)C1OO1,8,-16.066915567048927,139.37456652770615,dong_pio_liang.py,CBS-QB3,56.96042092008968,69.4431281160213,80.27570055027725,89.53937418332042,104.0747436723116,114.36329694458892,128.462626429197,C=C(OC(C)(C)C(C)C)C1OO1,-67.8769271510516,58.23258699808793,73.83659273422562,86.61119502868068,96.11356787762904,109.85427724665392,119.77857743785852,135.79600764818355,132.2696502868069,Thermo group additivity estimation: group(O2s-Cs(Cds-Cd)) + group(O2s-OsCs) + group(O2s-OsCs) + group(Cs-CsCsCsOs) + longDistanceInteraction_noncyclic(CsCs-TT) + group(Cs-CsCsCsH) + longDistanceInteraction_noncyclic(CsCs-TT) + group(Cs-CsOsOsH) + group(Cs-CsHHH) + group(Cs-CsHHH) + group(Cs-CsHHH) + group(Cs-CsHHH) + group(Cds-CdsCsOs) + group(Cds-CdsHH) + ring(dioxirane),GAV,103.91001158400267,7.104916240899257,-1.27216607799825,-4.39346461820432,-6.335494478403433,-6.574193694308619,-5.779533574342324,-5.415280493269592,-7.3333812189865455,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.17612260356422,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
CC=C(C=O)CO[O],CC=C(C=O)CO[O],4,-16.039277415953137,100.99356425437549,dong_pio_liang.py,CBS-QB3,32.48384761884092,39.12625267107381,45.06887095250119,50.170482676416064,58.22066813502792,63.959075859999984,71.8354495568033,CC=C(C=O)COO,-51.64877629063097,35.69395793499044,42.55007648183557,48.57506692160612,53.86049713193116,62.04493307839388,67.98514340344168,75.2070554493308,105.69856596558316,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-OsH) + group(Cs-(Cds-Cds)OsHH) + group(Cs-(Cds-Cds)HHH) + group(Cd-CdCs(CO)) + group(Cds-CdsCsH) + group(Cds-O2d(Cds-Cds)H),GAV,87.70949887467783,-4.705001711207672,-3.2101103161495246,-3.4238238107617605,-3.5061959691049296,-3.690014455515097,-3.824264943365961,-4.026067543441698,-3.371605892527498,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.17612260356422,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
C=C(C)C=C(O)CO[O],C=C(C)C=C(O)CO[O],5,-16.035760814503845,102.47619304822749,dong_pio_liang.py,CBS-QB3,43.2177852650914,52.63361082646423,59.49552067190608,65.19216658654639,73.87232353196971,79.7330640070937,87.13696693825408,C=C(C)C=C(O)COO,-58.66697896749522,43.84954110898661,54.05187380497132,61.49246653919693,67.10304015296367,75.42650095602293,81.62864244741876,90.61803059273424,109.05630975143404,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-(Cds-Cds)OsHH) + group(Cs-(Cds-Cds)HHH) + group(Cds-Cds(Cds-Cds)Cs) + group(Cds-CdsCsOs) + group(Cds-Cds(Cds-Cds)H) + group(Cds-CdsHH),GAV,94.73121815299136,-6.580116703206556,-0.6317558438952062,-1.4182629785070944,-1.9969458672908544,-1.91087356641728,-1.554177424053222,-1.8955784403250533,-3.4810636544801667,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.17612260356422,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
C=C(CO[O])C(C)OO,C=C(CO[O])C(C)OO,6,-16.009199444974893,110.46011578219434,dong_pio_liang.py,CBS-QB3,45.55297308619502,52.733354030563,58.86567805543619,64.07261202595711,72.15690430718618,77.80312879749523,85.51158354496776,C=C(COO)C(C)OO,-49.76,43.20000000000001,52.55,60.21,66.21000000000001,75.29,82.22,91.01,116.76,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-(Cds-Cds)CsOsH) + group(Cs-(Cds-Cds)OsHH) + group(Cs-CsHHH) + group(Cds-CdsCsCs) + group(Cds-CdsHH),GAV,85.8508005550251,-6.299884217805669,2.352973086195007,0.1833540305630023,-1.3443219445638093,-2.1373879740428947,-3.133095692813825,-4.416871202504765,-5.498416455032242,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.17612260356422,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
C[CH]CCOC,C[CH]CCOC,5,-15.996303957058736,99.829068190106,dong_pio_liang.py,CBS-QB3,31.67835909864226,38.01752895823022,44.40572821989316,50.05993302428792,59.3554325961218,66.4145556496673,77.27189310640847,CCCCOC,-62.07720841300191,32.730152963671124,40.23187380497132,47.283843212237095,53.505296367112805,63.50608030592735,71.05372848948375,82.68850860420649,97.85898661567876,Thermo group additivity estimation: group(O2s-CsCs) + group(Cs-CsCsHH) + group(Cs-CsCsHH) + group(Cs-CsOsHH) + group(Cs-CsHHH) + group(Cs-OsHHH),GAV,98.18090445594318,1.9700815744272404,-1.0517938650288627,-2.214344846741099,-2.8781149923439315,-3.4453633428248835,-4.150647709805547,-4.639172839816439,-5.41661549779802,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.17612260356422,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
