radical_smiles,resonance_radical_smiles,has_H,has_C,has_N,has_O,Mw (g/mol),num_rings,num_heavy_atoms,num_rotatable_bonds,radical_atom_type
[CH2]C=C=CCC,[CH2]C=C=CCC,True,True,False,False,81.070425288,0,6,3,C
[CH2]C=C=CCC,C=C[C]=CCC,True,True,False,False,81.070425288,0,6,3,C
C=C=CO[O],C=C=CO[O],True,True,False,True,71.013304336,0,5,1,O
C=C=C(C)C[C](C)C(=C)C,C=C=C(C)C[C](C)C(=C)C,True,True,False,False,135.11737548,0,10,6,C
C=C=C(C)C[C](C)C(=C)C,[CH2]C(C)=C(C)CC(C)=C=C,True,True,False,False,135.11737548,0,10,6,C
[CH]1C=CC=C1,[CH]1C=CC=C1,True,True,False,False,65.03912516,1,5,0,C
[CH2]C(C=C)OOC1C=CC=CC1,[CH2]C(C=C)OOC1C=CC=CC1,True,True,False,True,165.091554656,1,12,5,C
[CH]=CC,[CH]=CC,True,True,False,False,41.03912516,0,3,1,C
C=C1[CH]C=CC=CC1,C=C1[CH]C=CC=CC1,True,True,False,False,105.070425288,1,8,0,C
C=C1[CH]C=CC=CC1,[CH2]C1=CC=CC=CC1,True,True,False,False,105.070425288,1,8,1,C
C=C1[CH]C=CC=CC1,C=C1C=C[CH]C=CC1,True,True,False,False,105.070425288,1,8,0,C
C=C1[CH]C=CC=CC1,C=C1C=CC=C[CH]C1,True,True,False,False,105.070425288,1,8,0,C
[CH]=C(C)C(C)=CC,[CH]=C(C)C(C)=CC,True,True,False,False,95.086075352,0,7,4,C
[CH2]CC(=C)C=C,[CH2]CC(=C)C=C,True,True,False,False,81.070425288,0,6,3,C
C#CCO[O],C#CCO[O],True,True,False,True,71.013304336,0,5,1,O
[CH2]C=CCC1=CC=CCC1,[CH2]C=CCC1=CC=CCC1,True,True,False,False,133.101725416,1,10,3,C
[CH2]C=CCC1=CC=CCC1,C=C[CH]CC1=CC=CCC1,True,True,False,False,133.101725416,1,10,3,C
C=C(C)[C]1CC1,C=C(C)[C]1CC1,True,True,False,False,81.070425288,1,6,2,C
C=C(C)[C]1CC1,[CH2]C(C)=C1CC1,True,True,False,False,81.070425288,1,6,2,C
C=C[C]1CC1C,C=C[C]1CC1C,True,True,False,False,81.070425288,1,6,2,C
C=C[C]1CC1C,[CH2]C=C1CC1C,True,True,False,False,81.070425288,1,6,2,C
CC=[C]C1OO1,CC=[C]C1OO1,True,True,False,True,85.0289544,1,6,2,C
[CH2]C(C=C)OOC1C=CCC=C1,[CH2]C(C=C)OOC1C=CCC=C1,True,True,False,True,165.091554656,1,12,5,C
C=C1[CH]O1,C=C1[CH]O1,True,True,False,True,55.018389716,1,4,0,C
C=C1[CH]O1,[CH2]C1=CO1,True,True,False,True,55.018389716,1,4,1,C
[CH2]C=CCC1C=CC=CC1,[CH2]C=CCC1C=CC=CC1,True,True,False,False,133.101725416,1,10,3,C
[CH2]C=CCC1C=CC=CC1,C=C[CH]CC1C=CC=CC1,True,True,False,False,133.101725416,1,10,3,C
C#CC[O],C#CC[O],True,True,False,True,55.018389716,0,4,0,O
C=C=CCC(C=C)O[O],C=C=CCC(C=C)O[O],True,True,False,True,125.060254528,0,9,4,O
[CH]1CC=CC1OOC1C=CC=CC1,[CH]1CC=CC1OOC1C=CC=CC1,True,True,False,True,177.091554656,2,13,3,C
C#C[C](C)C,C#C[C](C)C,True,True,False,False,67.054775224,0,5,2,C
C#C[C](C)C,[CH]=C=C(C)C,True,True,False,False,67.054775224,0,5,2,C
[CH]=CC=C=O,[CH]=CC=C=O,True,True,False,True,67.018389716,0,5,1,C
C=C=C[CH]C,C=C=C[CH]C,True,True,False,False,67.054775224,0,5,2,C
C=C=C[CH]C,C=[C]C=CC,True,True,False,False,67.054775224,0,5,2,C
[CH]1CCC=CCC1CC1=CC=CCC1,[CH]1CCC=CCC1CC1=CC=CCC1,True,True,False,False,187.148675608,2,14,2,C
[CH2]C(C)=C=C,[CH2]C(C)=C=C,True,True,False,False,67.054775224,0,5,2,C
[CH2]C(C)=C=C,C=[C]C(=C)C,True,True,False,False,67.054775224,0,5,2,C
C=CC1CC12[CH]C=CCC2,C=CC1CC12[CH]C=CCC2,True,True,False,False,133.101725416,2,10,1,C
C=CC1CC12[CH]C=CCC2,C=CC1CC12C=C[CH]CC2,True,True,False,False,133.101725416,2,10,1,C
[CH]1CC=CC1OOC1C=CCC=C1,[CH]1CC=CC1OOC1C=CCC=C1,True,True,False,True,177.091554656,2,13,3,C
[CH2]C=C=CC,[CH2]C=C=CC,True,True,False,False,67.054775224,0,5,2,C
[CH2]C=C=CC,C=C[C]=CC,True,True,False,False,67.054775224,0,5,2,C
C=C=CC(C)[CH]C,C=C=CC(C)[CH]C,True,True,False,False,95.086075352,0,7,4,C
C=C1[CH]C=CC2CC12,C=C1[CH]C=CC2CC12,True,True,False,False,105.070425288,2,8,0,C
C=C1[CH]C=CC2CC12,[CH2]C1=CC=CC2CC12,True,True,False,False,105.070425288,2,8,1,C
C=C1[CH]C=CC2CC12,C=C1C=C[CH]C2CC12,True,True,False,False,105.070425288,2,8,0,C
[CH]1C=CC(C2=CC=CCC2)C1,[CH]1C=CC(C2=CC=CCC2)C1,True,True,False,False,145.101725416,2,11,1,C
[CH]1C=CC(C2=CC=CCC2)C1,[CH]1C=CCC1C1=CC=CCC1,True,True,False,False,145.101725416,2,11,1,C
[CH]1CC1,[CH]1CC1,True,True,False,False,41.03912516,1,3,0,C
[CH2]C1C=CC=CC1,[CH2]C1C=CC=CC1,True,True,False,False,93.070425288,1,7,1,C
[CH2]C1(C=C)CC1,[CH2]C1(C=C)CC1,True,True,False,False,81.070425288,1,6,2,C
[CH2]C1C=CCC=C1,[CH2]C1C=CCC=C1,True,True,False,False,93.070425288,1,7,1,C
[CH2]C1CC(=C)C1,[CH2]C1CC(=C)C1,True,True,False,False,81.070425288,1,6,1,C
[CH]=C(C)C(=C)C,[CH]=C(C)C(=C)C,True,True,False,False,81.070425288,0,6,3,C
[CH2]C=CCC1(CC=CC)C=CC=CC1,[CH2]C=CCC1(CC=CC)C=CC=CC1,True,True,False,False,187.148675608,1,14,6,C
[CH2]C=CCC1(CC=CC)C=CC=CC1,C=C[CH]CC1(CC=CC)C=CC=CC1,True,True,False,False,187.148675608,1,14,6,C
[CH]=CC(C)=CC,[CH]=CC(C)=CC,True,True,False,False,81.070425288,0,6,3,C
C=C[CH]CCC=CCC1=CC=CCC1,C=C[CH]CCC=CCC1=CC=CCC1,True,True,False,False,187.148675608,1,14,6,C
C=C[CH]CCC=CCC1=CC=CCC1,[CH2]C=CCCC=CCC1=CC=CCC1,True,True,False,False,187.148675608,1,14,6,C
[CH]1CC=CC2CC12,[CH]1CC=CC2CC12,True,True,False,False,93.070425288,2,7,0,C
C#C[CH]CC,C#C[CH]CC,True,True,False,False,67.054775224,0,5,2,C
C#C[CH]CC,[CH]=C=CCC,True,True,False,False,67.054775224,0,5,2,C
[CH]=C,[CH]=C,True,True,False,False,27.023475096,0,2,0,C
C#CC1([O])OO1,C#CC1([O])OO1,True,True,False,True,84.99256889200001,1,6,0,O
[CH]1C=CC2C3C=CC(C3)C12,[CH]1C=CC2C3C=CC(C3)C12,True,True,False,False,131.086075352,3,10,0,C
[CH]1C=CC(C2C=CC=CC2)C1,[CH]1C=CC(C2C=CC=CC2)C1,True,True,False,False,145.101725416,2,11,1,C
[CH]1C=CC(C2C=CC=CC2)C1,[CH]1C=CCC1C1C=CC=CC1,True,True,False,False,145.101725416,2,11,1,C
[CH]1C=CCC1C1C=CCC=C1,[CH]1C=CCC1C1C=CCC=C1,True,True,False,False,145.101725416,2,11,1,C
[CH]1C=CCC1C1C=CCC=C1,[CH]1C=CC(C2C=CCC=C2)C1,True,True,False,False,145.101725416,2,11,1,C
C=C=CC[C](C)C(=C)C,C=C=CC[C](C)C(=C)C,True,True,False,False,121.101725416,0,9,5,C
C=C=CC[C](C)C(=C)C,[CH2]C(C)=C(C)CC=C=C,True,True,False,False,121.101725416,0,9,5,C
[C]1=COOC1,[C]1=COOC1,True,True,False,True,71.013304336,1,5,0,C
O=C=C1[CH]C1,O=C=C1[CH]C1,True,True,False,True,67.018389716,1,5,0,C
O=C=C1[CH]C1,O=[C]C1=CC1,True,True,False,True,67.018389716,1,5,1,C
C=[C]C1OO1,C=[C]C1OO1,True,True,False,True,71.013304336,1,5,1,C
[CH2]C=C1CC1,[CH2]C=C1CC1,True,True,False,False,67.054775224,1,5,1,C
[CH2]C=C1CC1,C=C[C]1CC1,True,True,False,False,67.054775224,1,5,1,C
C=[C]CC(=C)C,C=[C]CC(=C)C,True,True,False,False,81.070425288,0,6,3,C
[CH]=CC(=C)CC,[CH]=CC(=C)CC,True,True,False,False,81.070425288,0,6,3,C
[CH2]C#CC,[CH2]C#CC,True,True,False,False,53.03912516,0,4,0,C
[CH2]C#CC,C=C=[C]C,True,True,False,False,53.03912516,0,4,1,C
C=C[CH]CCC=CCC1C=CC=CC1,C=C[CH]CCC=CCC1C=CC=CC1,True,True,False,False,187.148675608,1,14,6,C
C=C[CH]CCC=CCC1C=CC=CC1,[CH2]C=CCCC=CCC1C=CC=CC1,True,True,False,False,187.148675608,1,14,6,C
C=CC1C[C]2C=CC1CC2,C=CC1C[C]2C=CC1CC2,True,True,False,False,133.101725416,3,10,1,C
C=CC1C[C]2C=CC1CC2,C=CC1CC2=C[CH]C1CC2,True,True,False,False,133.101725416,3,10,1,C
C=C1C=[C]CCC1,C=C1C=[C]CCC1,True,True,False,False,93.070425288,1,7,0,C
C[C]1CC2CC12,C[C]1CC2CC12,True,True,False,False,81.070425288,2,6,1,C
C=C[CH]CC(C=C)CC1C=CC=CC1,C=C[CH]CC(C=C)CC1C=CC=CC1,True,True,False,False,187.148675608,1,14,6,C
C=C[CH]CC(C=C)CC1C=CC=CC1,[CH2]C=CCC(C=C)CC1C=CC=CC1,True,True,False,False,187.148675608,1,14,6,C
CC=CC[C]1C=CC(C2C=CCC=C2)C1,CC=CC[C]1C=CC(C2C=CCC=C2)C1,True,True,False,False,199.148675608,2,15,4,C
CC=CC[C]1C=CC(C2C=CCC=C2)C1,CC=CCC1=C[CH]C(C2C=CCC=C2)C1,True,True,False,False,199.148675608,2,15,4,C
C#CO[CH2],C#CO[CH2],True,True,False,True,55.018389716,0,4,1,C
CC12[CH]CC1C2,CC12[CH]CC1C2,True,True,False,False,81.070425288,2,6,1,C
CC1=CC=[C]CC1,CC1=CC=[C]CC1,True,True,False,False,93.070425288,1,7,1,C
CC=CCC1=CC(C2[CH]C=CC2)C=CC1,CC=CCC1=CC(C2[CH]C=CC2)C=CC1,True,True,False,False,199.148675608,2,15,4,C
CC=CCC1=CC(C2[CH]C=CC2)C=CC1,CC=CCC1=CC(C2C=C[CH]C2)C=CC1,True,True,False,False,199.148675608,2,15,4,C
[CH2]C#CC=C=O,[CH2]C#CC=C=O,True,True,False,True,79.018389716,0,6,0,C
[CH2]C#CC=C=O,C=C=[C]C=C=O,True,True,False,True,79.018389716,0,6,1,C
[CH2]C#CC=C=O,C=C=C=C[C]=O,True,True,False,True,79.018389716,0,6,1,C
[CH2]C=C=C,[CH2]C=C=C,True,True,False,False,53.03912516,0,4,1,C
[CH2]C=C=C,C=[C]C=C,True,True,False,False,53.03912516,0,4,1,C
C=C=C[CH]C(=C)C,C=C=C[CH]C(=C)C,True,True,False,False,93.070425288,0,7,3,C
C=C=C[CH]C(=C)C,C=[C]C=CC(=C)C,True,True,False,False,93.070425288,0,7,3,C
C=C=C[CH]C(=C)C,[CH2]C(C)=CC=C=C,True,True,False,False,93.070425288,0,7,3,C
C#CC(=CC)O[O],C#CC(=CC)O[O],True,True,False,True,97.0289544,0,7,2,O
C=C=CC([O])C=C,C=C=CC([O])C=C,True,True,False,True,95.049689844,0,7,2,O
[CH]=CCC(=C)C,[CH]=CCC(=C)C,True,True,False,False,81.070425288,0,6,3,C
CC=C1[C]=COO1,CC=C1[C]=COO1,True,True,False,True,97.0289544,1,7,1,C
