smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),source,level_of_theory,Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K)
CC(=O)O[CH]C(=O)COO,-117.09332079169903,108.58980211746501,110.77297159953646,dong_pio_liang.py,CBS-QB3,43.25961884338595,52.7035652645935,60.73670377031788,67.33197099266388,76.44735398268759,81.22007075969408,86.15270293732853
CC1(C[O])COCC(=O)O1,-116.66015169812434,99.37664579855803,101.55981528062948,dong_pio_liang.py,CBS-QB3,40.35674087249828,49.88429314497437,57.80727075895793,64.5768008449498,75.22141395642362,82.78163750021031,93.20448591756212
[CH2]C(COO)C(OO)OC(C)=O,-116.52494142155093,130.0650191080102,130.87076200675358,dong_pio_liang.py,CBS-QB3,56.60447706221338,67.57735443093232,77.22374259608868,85.31810536620159,97.58828121634843,105.7423977021415,115.26071319040037
CC(=O)O[CH]C1(C)OCOO1,-116.50727309705725,115.03084157989406,119.39718054403696,dong_pio_liang.py,CBS-QB3,42.88731043933462,53.38990815617062,62.365258248378105,69.93433069950677,81.5208065632345,89.37359294356214,99.11571135397084
C=C(C)OC(O[O])OC(C)=O,-116.16806968015146,122.92174235237599,125.91065473319082,dong_pio_liang.py,CBS-QB3,45.38165203933462,54.40629110451745,62.36345088406549,69.14566371541335,79.71878190627838,87.10748797181645,96.86036213741158
CC(=O)OC([CH]C=O)OO,-115.65607143532574,108.83488410684076,109.64062700558415,dong_pio_liang.py,CBS-QB3,43.333713507027554,52.9639168191567,60.93537474025095,67.2240311817571,75.40651769525918,80.10872552403443,85.8990527945363
CC1(O[O])COCC(=O)O1,-115.49318123447502,99.50463061300051,101.68780009507196,dong_pio_liang.py,CBS-QB3,38.43939769227903,46.505930905171,53.40758066179254,59.2765821689593,68.40473415307555,74.78488007558317,83.40336983014818
CC(=O)O[CH]C(CCOO)OO,-114.68346109635102,132.79397054852367,133.59971344726705,dong_pio_liang.py,CBS-QB3,61.076509881897074,72.08433972895969,80.65723674643644,87.41336292983313,97.27636957011612,103.9753736814914,112.52903082396271
CC(=O)OCC(C=O)O[O],-114.51656715472146,114.10873278565566,114.91447568439905,dong_pio_liang.py,CBS-QB3,40.25978625964055,48.00137969253109,54.77768999197419,60.521623224110435,69.38930807773339,75.48137608210325,83.21208133236614
CC(=O)OC[C]1COOCO1,-113.42615688700613,109.59583890885919,111.77900839093064,dong_pio_liang.py,CBS-QB3,43.29442857492378,52.68413469645738,60.92014416862561,68.08521325786583,79.540096227612,87.73699723439582,98.68084834715812
CC(=O)C1CC(=O)O[CH]O1,-113.15873838798286,100.89996686125866,103.08313634333011,dong_pio_liang.py,CBS-QB3,36.639606051319205,44.96995006836299,52.326460837012434,58.656900024070836,68.3130861605603,74.65050517198854,83.65390838016108
